Produktnamn (inga förkortningar! Fullständiga namn);Leverantör;Leverantörens Art.nr;Tillverkare;Tillverkarens Art.nr;EAN;Inköpspris exkl moms;Rek.pris exkl moms;RSK;Fraktkostnad, kronor (dropship);Permanent i lager? (ja/nej);Beställningsvara (ja/nej);Leveranstid (dagar);Vikt (gram);Säljes i st eller i set;Produktkategori;Produktkategori;Produktkategori;Sammanfattning av produkt (kort text);Produktbeskrivning (lång text);Länk till monteringsbeskrivning;Länk till produktblad;Produktbild (länk);Produktbild (länk);Produktbild (länk);Miljöbild (länk);Miljöbild (länk);Miljöbild (länk)
Boren Köksblandare;NGL Sweden AB;147007;;;;;1480;8312393;;;;;;;Köksblandare;;;Köksblandare rostfri med rak pip;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8312393_Boren_köksblandare;;;;;
Sommen Köksblandare;NGL Sweden AB;147013;;;;;1480;8312392;;;;;;;Köksblandare;;;Köksblandare rostfri med svängd pip;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med kulled och höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8312392_Sommen_köksblandare;;;;;
Boren Köksblandare;NGL Sweden AB;147016;;;;;1680;8312391;;;;;;;Köksblandare;;;Köksblandare rostfri med rak pip, diskamaskinsavstängning;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8312393_Boren_köksblandare;;;;;
Sommen Köksblandare;NGL Sweden AB;147019;;;;;1680;8312390;;;;;;;Köksblandare;;;Köksblandare rostfri med svängd pip, diskmaskinsavstängning;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med kulled och höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8312392_Sommen_köksblandare;;;;;
Boren Köksblandare;NGL Sweden AB;148007;;;;;2436;8312389;;;;;;;Köksblandare;;;Köksblandare rostfri med rak pip, vattenspar;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8312393_Boren_köksblandare;;;;;
Sommen Köksblandare;NGL Sweden AB;148013;;;;;2436;8310249;;;;;;;Köksblandare;;;Köksblandare rostfri med svängd pip, vattenspar;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med kulled och höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8312392_Sommen_köksblandare;;;;;
Boren Köksblandare;NGL Sweden AB;148016;;;;;2636;8310250;;;;;;;Köksblandare;;;Köksblandare rostfri med rak pip, diskmasinsavstängning, vattenspar;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid. Certifierad av Sintef";;;8312393_Boren_köksblandare;;;;;
Sommen Köksblandare;NGL Sweden AB;148019;;;;;2636;8310251;;;;;;;Köksblandare;;;Köksblandare rostfri med svängd pip, diskmaskinsavstängning, vattenspar;"Köksblandare tillverkad i rostfritt stål (SS304), vilket ger hög slitstyrka, lång livslängd och god korrosionsbeständighet. Blandaren är 100% blyfri och återvinningsbar. Passar i miljöer med höga krav på hållbarhet, hygien och hälsa. Materialets hårdhet gör produkten motståndskraftig mot repor, flisning och slitage. De släta, porfria ytorna bidrar till god hygien och minskar risken för bakterietillväxt. Anslutning sker med 3/8"" flexslang i rostfritt stål. Produkten innehåller inga ämnen som omfattas av REACH-informationsplikt. Blandaren är utrustad med keramisk insats för pålitlig funktion över tid samt vår unika sparstrålsamlare med kulled och höghastighetsteknik som minskar vattenförbrukningen utan att påverka komforten. Certifierad av Sintef";;;8312392_Sommen_köksblandare;;;;;
Maren Tvättställsblandare Beröringsfri;NGL Sweden AB;148919;;;;;3592;8276421;;;;;;;Tvättställsblandare;;;Tvättställsblandare beröringsfri;Tvättställsblandare i rostfritt stål. Systemet drivs av vatten med hjälp av en mikro-turbin, vilket eliminerar behovet av batteri eller elektrisk inkoppling. Blandningsventilen i rostfritt stål som medföljer möjliggör justering av temperaturen via ett vred monterat under bänken för enkel hantering av varm- och kallvattenförsörjning. Hydropowersensorn säkerställer övervakning och optimering av driften. Selfpowersystemet inkluderar ett elektriskt chip som initialt aktiverar sensorn, samt en liten vattenkraftgenerator som driver systemet efter aktivering.;;;8276421-Maren_tvättställ;;;;;
Sparstrålsamlare köksblandare;NGL Sweden AB;410113;;;;;540;8310256BF;;;;;;;Vattenbesparing;;;Sparstrålsamlare köksblandare  M22x1,0;Sparar vatten med ejektorverkan, vilket bibehåller sköljkomforten. NGL sparstrålsamlare ökar vattenhastigheten och blandar in luft redan vid låga flöden. Det innebär 30-50 procents mindre vattenflöde utan att de sköljande egen­skaperna försämras. Vid sköljning med en modern köksblandare är ett vanligt flöde 6-10 liter per minut och med vår sparstrålsamlare 3-5 liter per minut. Maxflödet behöver inte begränsas och vattenstrålen känns rikligare och ymnigare. Strålsamlarnas högklassiga funktion i kombination med kulled upplevs direkt som en höjd standard, oavsett typ av blandare, ålder och fabrikat.;;;8310256-NGL-22;;;;;
